Image,Name,Form,Rarity,Level,Health,Damage,Range,KB,Speed,DPS,Target,Time Between Attacks,Atk. Animation,Recharging Time,Cost,Enemy Types,Ability
https://onestoppress.com/images/006-3_square.png ,The Flying Cat,TRUE,Basic,30,10200,5610,170,4,10,2958,Area,1.9,0.6,3.53,975,Angel,Against angel:Weaken(20% chance to weaken by 50% for 4.0s)
https://onestoppress.com/images/007-1_square.png ,Fish Cat,Normal,Basic,30,11900,3060,150,3,10,1734,Single,1.77,0.33,4.2,1200,Red,"Against red:Strong(inflicts 1.5x damage, takes only 0.5x damage)"
https://onestoppress.com/images/007-2_square.png ,Whale Cat,Evolved,Basic,30,11900,3060,150,3,10,1734,Single,1.77,0.33,4.2,1200,Red,"Against red:Strong(inflicts 1.5x damage, takes only 0.5x damage)"
https://onestoppress.com/images/007-3_square.png ,Island Cat,TRUE,Basic,30,23800,6120,150,3,10,3468,Single,1.77,0.33,8.2,1200,Red,"Against red:Strong(inflicts 1.5x damage, takes only 0.5x damage)General Abilities:Critical(2% chance of a critical hit)"
https://onestoppress.com/images/008-1_square.png ,Lizard Cat,Normal,Basic,30,13600,5950,400,3,10,1374,Single,4.3,0.33,10.2,1500,,
https://onestoppress.com/images/008-2_square.png ,Dragon Cat,Evolved,Basic,30,13600,5950,400,3,10,1414,Single,4.23,0.27,10.2,1500,,
https://onestoppress.com/images/008-3_square.png ,King Dragon Cat,TRUE,Basic,30,15300,6800,400,3,10,1598,Single,4.23,0.27,16.87,1500,,
https://onestoppress.com/images/009-1_square.png ,Titan Cat,Normal,Basic,30,17000,4760,150,1,8,2122,Area,2.23,0.6,18.2,1950,,
https://onestoppress.com/images/009-2_square.png ,Mythical Titan Cat,Evolved,Basic,30,17000,4760,150,1,8,2122,Area,2.23,0.6,18.2,1950,,
https://onestoppress.com/images/009-3_square.png ,Jamiera Cat,TRUE,Basic,30,34000,9520,150,1,8,4270,Area,2.23,0.6,22.2,1950,"Red, Floating, Black, Angel, Alien, Zombie, Relic, Aku, White","Against white, red, black, floating, angel, alien, zombie, relic, aku:Knockback(30% chance of knockback)"
https://onestoppress.com/images/010-1_square.png ,Actress Cat,Normal,Special,30,6800,1700,350,3,10,408,Area,4.2,0.23,2.2,900,,
https://onestoppress.com/images/010-2_square.png ,Mother Cat,Evolved,Special,30,6800,1700,350,3,10,408,Area,4.2,0.23,2.2,900,,
https://onestoppress.com/images/010-3_square.png ,Beefcake Cat,TRUE,Special,30,11050,1700,350,3,10,598,Area,2.87,0.23,2.2,900,,
https://onestoppress.com/images/011-1_square.png ,Kung Fu Cat,Normal,Special,30,15300,18700,300,1,9,2666,Area,7,0.37,19.87,2250,,
https://onestoppress.com/images/011-2_square.png ,Drunken Master Cat,Evolved,Special,30,15300,20570,300,1,9,2938,Area,7,0.37,19.87,2250,,General Abilities:Multi-hit attack(Attacks thrice consecutively)
https://onestoppress.com/images/011-3_square.png ,Dancer Cat,TRUE,Special,30,15300,20570,330,1,9,2938,Area,7,1.17,19.87,2250,,Not affected by:Weaken
https://onestoppress.com/images/012-1_square.png ,Mr.,Normal,Special,30,8500,598,140,5,31,986,Area,0.6,0.07,7.2,825,,
https://onestoppress.com/images/012-2_square.png ,Super Mr.,Evolved,Special,30,8500,598,140,5,31,1054,Area,0.57,0.07,7.2,825,,
https://onestoppress.com/images/012-3_square.png ,Hyper Mr.,TRUE,Special,30,8500,598,140,5,47,1054,Area,0.57,0.07,7.2,825,Zombie,General Abilities:Zombie Killer(Stops zombies from reviving)
https://onestoppress.com/images/013-1_square.png ,Bondage Cat,Normal,Special,30,11900,1700,120,1,5,1142,Single,1.5,0.2,5.87,1035,Red,"Against red:Strong(inflicts 1.5x damage, takes only 0.5x damage)"
https://onestoppress.com/images/013-2_square.png ,Bondage CatNEO,Evolved,Special,30,11900,1700,120,1,5,1142,Single,1.5,0.2,5.87,1035,Red,"Against red:Strong(inflicts 1.5x damage, takes only 0.5x damage)"
https://onestoppress.com/images/013-3_square.png ,Ultimate Bondage Cat,TRUE,Special,30,23800,1700,120,1,5,1142,Single,1.5,0.2,5.87,1035,Red,"Against red:Strong(inflicts 1.5x damage, takes only 0.5x damage)General Abilities:Survive(50% chance to survive a lethal strike)Not affected by:Warp"
https://onestoppress.com/images/014-1_square.png ,Dom Cat,Normal,Special,30,11900,2244,210,1,5,1496,Single,1.5,0.2,5.87,1440,Red,"Against red:Strong(inflicts 1.5x damage, takes only 0.5x damage)General Abilities:Multi-hit attack(Attacks thrice consecutively)"
https://onestoppress.com/images/014-2_square.png ,Executioner,Evolved,Special,30,11900,2244,210,1,5,1496,Single,1.5,0.2,5.87,1440,Red,"Against red:Strong(inflicts 1.5x damage, takes only 0.5x damage)General Abilities:Multi-hit attack(Attacks thrice consecutively)"
https://onestoppress.com/images/014-3_square.png ,Dark Lazer,TRUE,Special,30,11900,2244,210,1,5,5610,Single,0.4,0.2,5.87,1440,"Red, Black","Against red, black:Strong(inflicts 1.5x damage, takes only 0.5x damage)"
https://onestoppress.com/images/015-1_square.png ,Cats in a Box,Normal,Special,30,13600,5100,140,3,35,1510,Area,3.37,0.27,6.53,1125,,
https://onestoppress.com/images/015-2_square.png ,Cat Gang,Evolved,Special,30,13600,5100,140,3,35,1510,Area,3.37,0.27,6.53,1125,,
https://onestoppress.com/images/015-3_square.png ,Heavy Assault C.A.T.,TRUE,Special,30,13600,5100,199,3,30,1510,Area,3.37,0.27,6.53,1125,Black,Against black:Weaken(30% chance to weaken by 50% for 6.67s)
https://onestoppress.com/images/016-1_square.png ,Panties Cat,Normal,Special,30,6800,1700,350,3,10,408,Single,4.17,0.2,2.2,525,,
https://onestoppress.com/images/016-2_square.png ,Leaf Cat,Evolved,Special,30,6800,1700,350,3,10,408,Single,4.17,0.2,2.2,525,,
https://onestoppress.com/images/016-3_square.png ,Lollycat,TRUE,Special,30,6800,1700,350,3,10,408,Area,4.17,0.2,2.2,525,,
https://onestoppress.com/images/017-1_square.png ,Moneko,Normal,Special,30,10200,6800,160,4,5,1598,Single,4.23,0.93,57.8,148,,General Abilities:Critical(15% chance of a critical hit)
https://onestoppress.com/images/017-2_square.png ,Miss MONEKO,Evolved,Special,30,17000,6800,160,4,5,1598,Single,4.23,0.93,57.8,148,,General Abilities:Critical(15% chance of a critical hit)
https://onestoppress.com/images/017-3_square.png ,Superstar MONEKO,TRUE,Special,30,21250,6800,160,4,5,1598,Single,4.23,0.93,35.6,148,,General Abilities:Critical(15% chance of a critical hit)Mini-Wave(100% chance to perform a Lv.3 Shockwave attack (Range: 732))
https://onestoppress.com/images/018-1_square.png ,Tricycle Cat,Normal,Special,30,6800,3060,170,4,10,1564,Area,1.97,0.67,2,1050,,
https://onestoppress.com/images/018-2_square.png ,Biker Cat,Evolved,Special,30,6800,3060,170,4,10,1564,Area,1.97,0.53,2,1050,,
https://onestoppress.com/images/018-3_square.png ,Unicycle Cat,TRUE,Special,30,6800,3060,170,4,10,1564,Area,1.97,0.53,2,525,,
https://onestoppress.com/images/019-1_square.png ,Ninja Cat,Normal,Special,30,4080,476,150,3,13,680,Single,0.7,0.2,2,300,Red,"Against red:Strong(inflicts 1.5x damage, takes only 0.5x damage)General Abilities:Multi-hit attack(Attacks twice consecutively)"
https://onestoppress.com/images/019-2_square.png ,Ninja Frog Cat,Evolved,Special,30,4080,476,150,3,13,680,Single,0.7,0.2,2,300,Red,"Against red:Strong(inflicts 1.5x damage, takes only 0.5x damage)General Abilities:Multi-hit attack(Attacks twice consecutively)"
https://onestoppress.com/images/019-3_square.png ,Flying Ninja Cat,TRUE,Special,30,4080,476,150,3,10,680,Single,0.7,0.2,2,225,Red,"Against red:Strong(inflicts 1.5x damage, takes only 0.5x damage)"
https://onestoppress.com/images/020-1_square.png ,Zombie Cat,Normal,Special,30,11900,3400,150,3,8,1734,Single,1.97,0.53,4.53,1125,Red,"Against red:Strong(inflicts 1.5x damage, takes only 0.5x damage)"
https://onestoppress.com/images/020-2_square.png ,Devil Cat,Evolved,Special,30,11900,3400,150,3,8,1734,Single,1.97,0.53,4.53,1125,Red,"Against red:Strong(inflicts 1.5x damage, takes only 0.5x damage)"
https://onestoppress.com/images/020-3_square.png ,Skelecat,TRUE,Special,30,11900,3400,150,3,8,1734,Area,1.97,0.53,4.53,1125,"Red, Zombie","Against red, zombie:Strong(inflicts 1.5x damage, takes only 0.5x damage)General Abilities:Zombie Killer(Stops zombies from reviving)"
https://onestoppress.com/images/021-1_square.png ,Samurai Cat,Normal,Special,30,9180,2210,150,3,7,1156,Single,1.9,0.6,2,525,,
https://onestoppress.com/images/021-2_square.png ,Knight Cat,Evolved,Special,30,9180,2210,160,3,7,1156,Single,1.9,0.6,2,525,,
https://onestoppress.com/images/021-3_square.png ,Pastry Cat,TRUE,Special,30,9180,2210,160,3,7,1156,Single,1.9,0.6,2,525,"Red, Floating, Black, Angel, Alien, Zombie, Relic, Aku, White","Against white, red, black, floating, angel, alien, zombie, relic, aku:Slow(10% chance to slow for 2.0s)"
https://onestoppress.com/images/022-1_square.png ,Sumo Cat,Normal,Special,30,10200,150,110,1,8,136,Area,1.13,0.4,2,300,,General Abilities:Multi-hit attack(Attacks thrice consecutively)
https://onestoppress.com/images/022-2_square.png ,Madame Sumo,Evolved,Special,30,10200,150,110,1,8,136,Area,1.1,0.4,2,300,,General Abilities:Multi-hit attack(Attacks thrice consecutively)
https://onestoppress.com/images/022-3_square.png ,Riceball Cat,TRUE,Special,30,10200,150,110,1,24,136,Area,1.13,0.4,2,300,,General Abilities:Multi-hit attack(Attacks thrice consecutively)Not affected by:Knockback
https://onestoppress.com/images/023-1_square.png ,Boogie Cat,Normal,Special,30,3400,340,140,3,6,238,Single,1.43,0.47,2,75,,
https://onestoppress.com/images/023-2_square.png ,Samba Cat,Evolved,Special,30,3400,340,140,3,6,238,Single,1.43,0.47,2,75,,
https://onestoppress.com/images/023-3_square.png ,Gato Amigo,TRUE,Special,30,3400,340,140,3,6,238,Single,1.43,0.47,2,75,"Red, Floating, Black, Angel, Alien, Zombie, Relic, Aku, White","Against white, red, black, floating, angel, alien, zombie, relic, aku:Knockback(5% chance of knockback)"
https://onestoppress.com/images/024-1_square.png ,Skirt Cat,Normal,Special,30,6800,1700,350,3,10,408,Single,4.17,0.2,2.2,525,,
https://onestoppress.com/images/024-2_square.png ,Tights Cat,Evolved,Special,30,6800,1700,350,3,10,408,Single,4.17,0.2,2.2,525,,
https://onestoppress.com/images/024-3_square.png ,Loincloth Cat,TRUE,Special,30,6800,1700,350,3,10,598,Single,2.83,0.2,2.2,525,,General Abilities:Barrier Breaker(30% chance of breaking enemy barriers)
https://onestoppress.com/images/025-1_square.png ,Valkyrie Cat,Normal,Special,30,23800,8500,350,2,20,1972,Area,4.3,0.67,64.53,3000,,
https://onestoppress.com/images/025-2_square.png ,True Valkyrie Cat,Evolved,Special,30,23800,8500,350,2,20,1972,Area,4.3,0.67,64.53,3000,,
https://onestoppress.com/images/025-3_square.png ,Holy Valkyrie Cat,TRUE,Special,30,23800,12240,350,2,20,2842,Area,4.3,0.67,64.53,3000,"Red, Floating, Black, Angel, Alien, Zombie, Relic, Aku, White","Against white, red, black, floating, angel, alien, zombie, relic, aku:Freeze(35% chance to freeze for 2.0s)"
https://onestoppress.com/images/026-1_square.png ,Bahamut Cat,Normal,Special,30,25500,85000,450,3,6,4250,Area,20,4.03,151.2,4500,,
https://onestoppress.com/images/026-2_square.png ,Crazed Bahamut Cat,Evolved,Special,30,25500,85000,450,3,6,4250,Area,20,4.03,151.2,4500,,
https://onestoppress.com/images/026-3_square.png ,Awakened Bahamut Cat,TRUE,Special,30,25500,93500,200,6,60,30158,Area,3.1,0.17,97.87,4500,,General Abilities:Multi-hit attack(Attacks thrice consecutively)
https://onestoppress.com/images/027-1_square.png ,Kerihime,Normal,Special,30,10200,6800,140,1,35,1129,Single,6.03,0.13,17.87,675,,
https://onestoppress.com/images/027-2_square.png ,Full Color Kerihime,Evolved,Special,30,10200,6800,140,1,35,1129,Single,6.03,0.13,17.87,675,,
https://onestoppress.com/images/027-3_square.png ,Bridal Princess Punt,TRUE,Special,30,10200,13600,140,1,40,2251,Single,6.03,0.13,17.87,675,,
https://onestoppress.com/images/028-1_square.png ,Cat Princess,Normal,Special,30,10200,7650,140,1,35,1428,Single,5.37,0.07,14.53,675,,
https://onestoppress.com/images/028-2_square.png ,Cat Princess Beauty,Evolved,Special,30,10200,7650,140,1,35,1428,Single,5.37,0.07,14.53,675,,
https://onestoppress.com/images/029-1_square.png ,Capsule Cat,Normal,Special,30,14,5100,140,1,70,694,Single,7.4,0.07,11.2,666,,
https://onestoppress.com/images/029-2_square.png ,Cramped Cats,Evolved,Special,30,14,5100,140,1,70,694,Single,7.4,0.07,11.2,666,,
https://onestoppress.com/images/030-1_square.png ,Masked Cat,Normal,Special,30,1700,136,140,3,10,102,Single,1.23,0.27,2,75,,
https://onestoppress.com/images/030-2_square.png ,Luchador Cat,Evolved,Special,30,8500,2380,150,1,8,1074,Area,2.23,0.6,11.2,975,,
https://onestoppress.com/images/031-1_square.png ,Bodhisattva Cat,Normal,Super Rare,30,16320,5018,270,2,7,2040,Area,2.47,1.5,39.2,1650,Floating,Against floating:Slow(40% chance to slow for 4.0s)
https://onestoppress.com/images/031-2_square.png ,Avalokitesvara Cat,Evolved,Super Rare,30,19720,8418,270,2,7,3414,Area,2.47,1.5,39.2,1650,Floating,Against floating:Slow(40% chance to slow for 4.0s)
https://onestoppress.com/images/031-3_square.png ,Tathagata Cat,TRUE,Super Rare,30,19720,8418,300,2,7,3414,Area,2.47,1.5,39.2,1650,Floating,Against floating:Weaken(30% chance to weaken by 50% for 4.0s)Slow(40% chance to slow for 4.0s)
https://onestoppress.com/images/032-1_square.png ,Delinquent Cat,Normal,Super Rare,30,17000,7398,250,3,8,2298,Area,3.23,0.6,48.53,1500,Floating,Against floating:Freeze(16% chance to freeze for 2.0s)General Abilities:Multi-hit attack(Attacks thrice consecutively)
https://onestoppress.com/images/032-2_square.png ,Angry Delinquent Cat,Evolved,Super Rare,30,20400,13002,250,3,8,4026,Area,3.23,0.6,48.53,1500,Floating,Against floating:Freeze(16% chance to freeze for 2.0s)General Abilities:Multi-hit attack(Attacks thrice consecutively)Not affected by:Freeze
https://onestoppress.com/images/032-3_square.png ,Ultra Delinquent Cat,TRUE,Super Rare,30,30600,13002,280,3,8,4026,Area,3.23,0.6,34.2,1500,"Floating, Relic","Against floating, relic:Freeze(16% chance to freeze for 2.0s)General Abilities:Multi-hit attack(Attacks thrice consecutively)Not affected by:Freeze,Curse"
https://onestoppress.com/images/033-1_square.png ,Hip Hop Cat,Normal,Super Rare,30,12750,12750,220,5,11,1958,Single,6.5,1.2,12.53,675,Red,Against red:Slow(40% chance to slow for 4.0s)
https://onestoppress.com/images/033-2_square.png ,Dancing Flasher Cat,Evolved,Super Rare,30,25500,25500,220,5,11,3930,Single,6.5,1.2,12.53,675,Red,Against red:Slow(40% chance to slow for 4.0s)
https://onestoppress.com/images/033-3_square.png ,Can Can Cat,TRUE,Super Rare,30,38250,38250,220,5,11,5882,Single,6.5,1.2,12.53,675,Red,Against red:Slow(60% chance to slow for 4.0s)Not affected by:Warp
https://onestoppress.com/images/034-1_square.png ,Kotatsu Cat,Normal,Super Rare,30,20400,1700,130,1,10,1006,Single,1.7,1.4,9.87,720,Floating,Against floating:Resistant(only takes 0.25x damage)Weaken(30% chance to weaken by 50% for 6.67s)
https://onestoppress.com/images/034-2_square.png ,Sadako Cat,Evolved,Super Rare,30,27200,3400,130,1,10,2006,Single,1.7,1.4,9.87,720,Floating,Against floating:Resistant(only takes 0.25x damage)Weaken(30% chance to weaken by 50% for 6.67s)
https://onestoppress.com/images/034-3_square.png ,Octopus Cat,TRUE,Super Rare,30,27200,5100,130,1,10,2434,Single,2.1,1.4,9.87,720,Floating,Against floating:Resistant(only takes 0.25x damage)Weaken(30% chance to weaken by 50% for 6.67s)General Abilities:Wave Shield(Protects units behind them from shockwaves)
https://onestoppress.com/images/035-1_square.png ,Nekoluga,Normal,Uber Super Rare,30,8500,2550,140,5,4,938,Single,2.73,0.43,24.53,4500,,
https://onestoppress.com/images/035-2_square.png ,Unknown Cat,Evolved,Uber Super Rare,30,20400,17000,650,1,4,898,Area,18.93,2.97,324.53,4500,"Red, Floating, Black, Angel, Alien, Zombie, Relic, Aku, White","Against white, red, black, floating, angel, alien, zombie, relic, aku:Knockback(100% chance of knockback)"
https://onestoppress.com/images/035-3_square.png ,Ultralan Pasalan,TRUE,Uber Super Rare,30,20400,34000,650,1,4,1802,Area,18.93,2.97,324.53,4500,"Red, Floating, Black, Angel, Alien, Zombie, Relic, Aku, White","Against white, red, black, floating, angel, alien, zombie, relic, aku:Freeze(100% chance to freeze for 2.0s)Knockback(100% chance of knockback)"
https://onestoppress.com/images/036-1_square.png ,Nerd Cat,Normal,Super Rare,30,3400,5100,1200,1,4,626,Single,8.03,2.4,157.87,3750,,General Abilities:Long Distance(Effective range 1100~1500)
https://onestoppress.com/images/036-2_square.png ,Hacker Cat,Evolved,Super Rare,30,3400,5100,1200,1,4,626,Area,8.03,2.4,157.87,3750,,General Abilities:Long Distance(Effective range 800~1200)
https://onestoppress.com/images/036-3_square.png ,Cyberpunk Cat,TRUE,Super Rare,30,3400,7650,1200,1,4,952,Area,8.03,2.4,157.87,3750,"Red, Floating, Black, Angel, Alien, Zombie, Relic, Aku, White","Against white, red, black, floating, angel, alien, zombie, relic, aku:Slow(100% chance to slow for 2.0s)General Abilities:Long Distance(Effective range 800~1200)"
https://onestoppress.com/images/037-1_square.png ,Swimmer Cat,Normal,Super Rare,30,12750,7480,185,4,25,1850,Single,4.03,0.7,9.87,675,Floating,Against floating:Massive Damage(inflicts 3.0x damage)
https://onestoppress.com/images/037-2_square.png ,Butterfly Cat,Evolved,Super Rare,30,17850,12580,185,4,25,3114,Single,4.03,0.7,9.87,675,Floating,Against floating:Massive Damage(inflicts 3.0x damage)
https://onestoppress.com/images/037-3_square.png ,Fishman Cat,TRUE,Super Rare,30,20400,15130,215,4,36,3754,Single,4.03,0.7,9.87,675,Floating,Against floating:Massive Damage(inflicts 3.0x damage)
https://onestoppress.com/images/038-1_square.png ,Pogo Cat,Normal,Rare,30,5100,1102,150,3,10,680,Single,1.63,0.53,2,360,,General Abilities:Survive(50% chance to survive a lethal strike)
https://onestoppress.com/images/038-2_square.png ,Masai Cat,Evolved,Rare,30,6800,1278,150,3,10,782,Single,1.63,0.53,2,360,,General Abilities:Survive(50% chance to survive a lethal strike)
https://onestoppress.com/images/038-3_square.png ,Jiangshi Cat,TRUE,Rare,30,6800,1782,150,3,10,1088,Single,1.63,0.53,2,240,,General Abilities:Survive(100% chance to survive a lethal strike)
https://onestoppress.com/images/039-1_square.png ,Wheel Cat,Normal,Rare,30,10200,3740,170,2,9,1646,Area,2.27,0.97,11.2,1050,Alien,Against alien:Massive Damage(inflicts 3.0x damage)
https://onestoppress.com/images/039-2_square.png ,Solar Cat,Evolved,Rare,30,13600,5440,170,2,9,2394,Area,2.27,0.97,11.2,1050,Alien,Against alien:Massive Damage(inflicts 3.0x damage)
https://onestoppress.com/images/039-3_square.png ,Chill Cat,TRUE,Rare,30,13600,7140,200,2,9,3142,Area,2.27,0.97,4.53,1050,Alien,Against alien:Massive Damage(inflicts 3.0x damage)
https://onestoppress.com/images/040-1_square.png ,Apple Cat,Normal,Super Rare,30,15300,3230,180,3,12,1006,Single,3.2,0.2,12.53,825,Red,Against red:Freeze(40% chance to freeze for 2.0s)
https://onestoppress.com/images/040-2_square.png ,Face Cat,Evolved,Super Rare,30,20400,6630,180,3,12,2074,Single,3.2,0.2,12.53,825,Red,Against red:Freeze(40% chance to freeze for 2.0s)
https://onestoppress.com/images/040-3_square.png ,iCat,TRUE,Super Rare,30,20400,6630,180,3,12,2074,Area,3.2,0.2,12.53,825,Red,Against red:Freeze(100% chance to freeze for 2.0s)
https://onestoppress.com/images/041-1_square.png ,Bath Cat,Normal,Super Rare,30,6800,6800,400,3,9,1054,Single,6.47,1.17,31.2,750,Red,Against red:Massive Damage(inflicts 3.0x damage)
https://onestoppress.com/images/041-2_square.png ,Sexy Bathtub Cat,Evolved,Super Rare,30,11900,10200,400,3,9,1578,Single,6.47,1.17,31.2,750,Red,Against red:Massive Damage(inflicts 3.0x damage)
https://onestoppress.com/images/041-3_square.png ,Luxury Bath Cat,TRUE,Super Rare,30,20400,10200,400,3,9,2122,Single,4.8,1.17,31.2,750,Red,Against red:Massive Damage(inflicts 3.0x damage)
https://onestoppress.com/images/042-1_square.png ,Salon Cat,Normal,Rare,30,8160,3060,350,3,10,734,Area,4.2,0.23,2.2,900,,
https://onestoppress.com/images/042-2_square.png ,Paris Cat,Evolved,Rare,30,9860,4250,350,3,10,1020,Area,4.2,0.23,2.2,900,,
https://onestoppress.com/images/042-3_square.png ,Cyborg Cat,TRUE,Rare,30,9860,5440,350,3,10,1292,Area,4.2,0.23,2.2,900,,Not affected by:Weaken
https://onestoppress.com/images/043-1_square.png ,Ice Cat,Normal,Uber Super Rare,30,23800,15300,325,3,8,2516,Area,6.1,1.8,57.87,3300,Red,Against red:Freeze(50% chance to freeze for 4.0s)
https://onestoppress.com/images/043-2_square.png ,Ice Queen Cat,Evolved,Uber Super Rare,30,34000,22100,325,3,8,3618,Area,6.1,1.8,57.87,3300,Red,Against red:Freeze(50% chance to freeze for 4.0s)
https://onestoppress.com/images/043-3_square.png ,Ice Crystal Cat,TRUE,Uber Super Rare,30,34000,30600,425,3,8,5018,Area,6.1,1.8,57.87,3300,Red,Against red:Freeze(100% chance to freeze for 4.0s)
https://onestoppress.com/images/044-1_square.png ,Cat Machine,Normal,Uber Super Rare,30,81600,59500,140,1,9,4862,Area,12.23,5.6,64.53,3600,"Red, Alien","Against red, alien:Resistant(only takes 0.25x damage)"
https://onestoppress.com/images/044-2_square.png ,Cat Machine Mk 2,Evolved,Uber Super Rare,30,102000,94438,140,1,9,7718,Area,12.23,5.6,64.53,3600,"Red, Alien","Against red, alien:Resistant(only takes 0.25x damage)Not affected by:Wave"
https://onestoppress.com/images/044-3_square.png ,Cat Machine Mk 3,TRUE,Uber Super Rare,30,153000,94438,190,1,15,10608,Area,8.9,5.6,64.53,3600,"Red, Alien","Against red, alien:Resistant(only takes 0.25x damage)General Abilities:Wave Shield(Protects units behind them from shockwaves)"
https://onestoppress.com/images/045-1_square.png ,Lesser Demon Cat,Normal,Uber Super Rare,30,37400,28050,180,3,12,12376,Single,2.27,0.93,28.2,3000,,Not affected by:Weaken
https://onestoppress.com/images/045-2_square.png ,Greater Demon Cat,Evolved,Uber Super Rare,30,49300,38250,180,3,12,16878,Single,2.27,0.93,28.2,3000,,Not affected by:Weaken
https://onestoppress.com/images/045-3_square.png ,Greater Balrog Cat,TRUE,Uber Super Rare,30,66300,63750,180,3,12,28118,Single,2.27,0.93,28.2,3000,,Not affected by:Weaken
https://onestoppress.com/images/046-1_square.png ,Maiko Cat,Normal,Special,30,1700,136,140,3,10,102,Single,1.23,0.27,2,75,,
https://onestoppress.com/images/046-2_square.png ,Geisha Cat,Evolved,Special,30,5950,1360,350,3,10,326,Single,4.27,0.3,2.2,900,,
https://onestoppress.com/images/047-1_square.png ,Jurassic Cat,Normal,Rare,30,9690,1238,150,3,12,1210,Single,1.03,0.53,7.2,525,,General Abilities:Critical(5% chance of a critical hit)
https://onestoppress.com/images/047-2_square.png ,Jurassic Cat Sitter,Evolved,Rare,30,11390,1414,150,3,12,1360,Single,1.03,0.53,7.2,525,,General Abilities:Critical(5% chance of a critical hit)
https://onestoppress.com/images/047-3_square.png ,Catasaurus,TRUE,Rare,30,16490,1836,180,3,12,1775,Single,1.03,0.53,7.2,525,,General Abilities:Critical(7% chance of a critical hit)
https://onestoppress.com/images/048-1_square.png ,Viking Cat,Normal,Rare,30,11302,1360,140,3,11,1632,Single,0.83,0.53,3.87,525,Red,"Against red:Strong(inflicts 1.5x damage, takes only 0.5x damage)"
https://onestoppress.com/images/048-2_square.png ,Thor Cat,Evolved,Rare,30,13002,1530,140,3,11,1836,Single,0.83,0.53,3.87,525,Red,"Against red:Strong(inflicts 1.5x damage, takes only 0.5x damage)"
https://onestoppress.com/images/048-3_square.png ,Maximum the Fighter,TRUE,Rare,30,26010,1530,140,3,11,1836,Area,0.83,0.53,3.87,525,Red,"Against red:Strong(inflicts 1.5x damage, takes only 0.5x damage)"
https://onestoppress.com/images/049-1_square.png ,Pirate Cat,Normal,Rare,30,5182,558,270,3,8,374,Single,1.5,0.33,5.87,510,Red,Against red:Knockback(30% chance of knockback)
https://onestoppress.com/images/049-2_square.png ,Captain Cat,Evolved,Rare,30,5950,734,270,3,8,490,Single,1.5,0.33,5.87,510,Red,Against red:Knockback(30% chance of knockback)
